fremdsprache,deutsch,deklination,lektion,richtig,falsch
ubi,wo als,,1,12,11
videre,sehen,,1,12,6
saepe,oft,,1,10,9
amicus,der ein Freund,,1,9,7
ad,zu nach,b Akk Richtung,1,2,15
cena,das ein Abendessen,,1,7,10
invitare,einladen,,1,9,8
hodie,heute,,1,9,8
exspectare,erwarten,,1,9,7
iam,schon,,1,9,8
cunctus,ganz ,,1,2,8
parare,vorbereiten,,1,8,1
paratus,vorbereitet,,1,7,2
est,er sie es ist,,1,9,1
vinum,der Wein,,1,1,10
familia,die Familie,,1,2,7
dominus,der ein HausHerr ,,1,1,8
et,und auch,,1,3,8
diu,lange,,1,8,1
dicere,sagen sprechen,,1,4,5
quis quid,wer was,,1,8,2
sed,aber sondern,,1,3,7
non,nicht,,1,8,1
venire,kommen,,1,9,1
tu,du ,,1,2,9
neque neque,weder noch,,1,5,4
habere,haben halten,,1,9,2
ut,wie als,,1,6,3
semper,immer,,1,8,2
facere,tun machen,,1,5,4
apud,bei,b Akk Richtung,1,8,2
alius,ein anderer,,1,7,2
cenare,zu Abend essen,,1,8,2
vos,ihr ,,1,1,8
nos,wir ,,1,1,8
dum,während solange,,1,1,10
ego,ich ,,1,2,8
si,wenn falls,,1,7,3
aut,oder,,1,8,1
aut aut,entweder oder,,1,10,1
debere,müssen schulden verdanken,,1,6,4
etiam,auch,,2,13,0
multi,viele,ae a,2,9,1
nam,denn,,2,10,1
cum,mit,Abl d Begleitung,2,13,15
cum,wenn als nachdem weil obwohl,als Nebensatzeinleitung,2,4,15
hora,die Stunde,,2,10,0
in,in etw hinein wohin nach gegen zu,b Akk d Richtung,2,5,11
in,in etw wo an auf bei,b Abl d Ortes,2,5,11
petere,anpeilen aufsuchen sich begeben verlangen bitten angreifen,,2,6,10
servus,der Sklave,,2,9,1
audire,hören,,2,9,0
ad esse,da sein helfen,mit Dativ,2,6,2
meus,mein,a um,2,7,1
tuus,dein,a um,2,5,2
laborare,sich bemühen arbeiten in Schwierigkeiten sein leiden,,2,4,13
metuere,fürchten,,2,6,1
sine,ohne,b Abl d Trennung,2,6,1
cura,die Sorge,,2,6,0
agere,treiben tun handeln verhandeln,,2,1,7
putare,glauben meinen für etwas halten,,2,2,8
de,herab von weg über,b Abl d Trennung,2,1,10
vita,das Leben,,2,6,0
puer,der Junge,,2,6,1
liberi,die Kinder,,2,6,0
ludere,spielen,,2,6,0
fortuna,das Schicksal das Glück,,2,3,5
malus,schlecht,a um,2,6,0
bonus,gut,a um,2,6,0
capere,packen erobern nehmen erhalten,,2,1,7
gladius,Schwert,,2,1,5
occidere,töten,,2,3,3
periculum,die Gefahr,,2,6,0
solum,nur,,2,6,0
a ab,von,b Abl d Trennung,2,0,13
itaque,deshalb,,2,6,0
verus,wahr,a um,2,5,1
vera,etwas Wahres die Wahrheit,n Pl,2,6,0
undique,von allen Seiten von überall her,,3,6,17
varius,verschieden bunt vielfältig,a um,3,15,5
vir,der Mann,i m.,3,15,0
femina,die Frau,ae f.,3,14,1
se,sich,,3,7,12
exercere,üben trainieren,,3,14,0
magnus,groß,a um,3,13,1
aqua,das Wasser,ae f.,3,17,0
salire,springen,,3,16,2
numquam,nie,,3,17,0
tacere,schweigen,,3,15,15
clamare,rufen,,3,20,8
cogere,zusammentreiben versammeln zwingen,,3,8,23
optimus,der Beste sehr gut,a um,3,17,9
emere,kaufen,,3,21,4
tibi,dir,,3,21,1
duo,zwei,duae duo,3,21,0
dare,geben,,3,13,5
filius,der Sohn,i m.,3,14,0
filia,die Tochter,ae f.,3,14,0
pulcher,schön,ra rum,3,9,8
subito,plötzlich,,3,15,1
toga,die Toga,ae f.,3,13,0
tenere,halten haben,,3,9,8
animus,der Geist der Sinn die Gesinnung das Herz der Mut,i m.,3,4,17
studium,der Eifer das Interesse die Beschäftigung,i n.,3,1,10
philosophus,der Philosoph,i m.,3,10,0
silentium,die Stille das Schweigen,i n.,3,7,4
necessarius,notwendig nahestehend verwandt,a um,3,0,14
Romanus,romisch Subst der Romer,a um,3,0,13
placere,gefallen,,3,2,8
homo,der Mensch der Mann,hominis m.,4,23,3
humanus,menschlich gebildet,a um,4,19,6
senex,der alte Mann,senis m.,4,20,5
iuvenis,der junge Mann die junge Frau jung,iuvenis m f.,4,15,10
spectare,betrachten anschauen,,4,21,3
oculus,das Auge,i m.,4,20,3
ingens,riesig,ingentis,4,15,9
vox,die Stimme,vocis f.,4,22,1
populus,das Volk,i m.,4,23,0
cur,warum,,4,21,3
currere,laufen eilen,,4,15,10
ferrum,das Eisen die Waffe das Schwert,i n.,4,19,6
vulnus,die Wunde,vulneris n.,4,21,4
fugere,fliehen vor,mit Akk.,4,14,11
occidere,sterben,,4,20,4
mors,der Tod,mortis f.,4,12,6
mortuus,tot,,4,14,4
timere,fürchten,,4,8,10
pugna,der Kampf die Schlacht,ae f.,4,11,7
acer,scharf heftig,acris acre,4,12,6
unus,ein einziger allein,,4,6,10
cadere,fallen,,4,5,11
non iam,nicht mehr,,4,12,3
movere,bewegen beeindrucken,,4,10,6
nomen,der Name,nominis n.,4,12,4
victor,der Sieger,victoris m.,4,11,1
caedes,der Mord das Blutbad,caedis f.,4,3,11
tegere,bedecken schützen,,4,1,13
posse,können,,4,4,9
pellere,stoßen schlagen vertreiben,,4,1,12
repellere,zurückstoßen,,4,7,1
totus,ganz,a um,4,4,5
corpus,der Körper,corporis n.,4,8,0
ars,das Können die Geschicklichkeit die Kunst,artis f.,4,0,9
omnis,jeder ganz,is e,4,0,9
omnes,alle,,4,2,6
mora,der Aufschub die Verzögerung,ae f.,4,0,8
barbarus,auslandisch unzivilisiert Subst die Barbaren Nicht Romer,a um,5,0,29
consilium,die Versammlung der Rat die Beratung der Plan der Beschluss,i n.,5,3,23
cognoscere cognosco cognovi cognitum,kennenlernen erkennen,cognosco cognovi cognitum,5,19,7
prae,vor,Präp b Abl,5,21,5
mittere mitto misi mmissum,schicken,mitto misi missum,5,21,5
relinquus,ubrig,a um,5,12,15
copia,die Menge der Vorrat die Moglichkeit Pl die Truppen,ae f.,5,0,26
noster,unser Subst der Unsrige,tra trum,5,0,26
e ex,aus heraus von etw her,b Abl d Trennung,5,5,21
navis,das Schiff,navis f.,5,18,8
miles,der Soldat,Militis m.,5,11,9
gravis,schwer gewichtig ernst,is e,5,9,10
arma,die Waffen,armorum n Pl.,5,14,5
fluctus,die Welle,us m.,5,15,3
hostis,der Feind,is m.,5,13,5
pugnare,kampfen,,5,6,12
telum,der Wurfspeß,i n.,5,0,18
equus,das Pferd,i m.,5,12,6
incitare,antreiben erregen,,5,9,9
terere,erschrecken,,5,6,12
latus,die Seite die Flanke,lateris n.,5,8,11
aperire aperio aperui apertum,offnen aufdecken,aperio aperui apertum,5,0,19
iubere iubeo iussi iussum,befehlen,iubeo iussi iussum,5,5,13
atque ac,und,,5,10,9
usus,der Gebrauch der Nutzen die Erfahrung,us m.,5,0,18
dubitare,zögern bezweifeln,,5,0,4
mare,das Meer,maris n.,5,1,2
ferre fero tuli latum,tragen ertragen berichten,fero tuli latum,5,0,3
deus,der Gott,i m. Nom Pl meist di Dat Abl Pl dis,5,1,2
vocare,rufen nennen,,5,0,3
nobis,uns,Dat Abl,5,0,1
auxilium,die Hilfe,i n.,5,0,1
tum,dann darauf,,5,0,1
nisi,wenn nicht außer,,5,0,1
tradere trado tradidi traditum,übergeben überliefern,trado tradidi traditum,5,0,1
incipere incipio coepi coeptum,anfangen,incipio coepi coeptum,5,0,1
Kasus,Nominativ Genitiv Dativ Akkusativ Ablativ Nominativ Genitiv Dativ Akkusativ Ablativ,,20,2,9
maskulin,us i o um o i orum is os is,,20,49,15
feminin,a ae ae am a ae orum is as is,,20,55,16
neutrum,um i o um o a orum is a is,,20,25,7
Kons.Deklination,homo is i em e es um ibus es ibus,,20,16,11
Kons.deklination neutrum,vulnus is i vulnus e a um ibus a ibus,,20,9,9
Nom gen Dat Akk Abl,wer/was wessen wem wen/was womit/wodurch,,20,3,6
servare,retten bewahren,,6,34,13
conspicere, erblicken spicio spexi spectum,,6,13,33
iactare,werfen,,6,41,10
complere,anfüllen erfüllen pleo plevi pletum,,6,13,33
consistere,sich aufstellen stehen bleiben sisto stiti,,6,0,26
vincere,besiegen vinco vici victum,,6,0,9
se re-cipere,sich zurückziehen re-cipio cepi ceptum,,6,0,5
neque neque,weder noch,,6.1,38,16
navis,das Schiff navis f,navis f,6.1,35,13
desilire,herabspringen,,6.1,36,11
ubi,wo als,,6.1,40,7
hostis,der Feind is m,is m,6.1,40,8
equus,das Pferd i m,i m,6.1,34,7
incitare,erregen antreiben,,6.1,33,9
dare,geben do dedi datum,do dedi datum,6.1,33,7
